,unemployment
03/06/1993,364185
03/13/1993,335154
03/20/1993,315473
03/27/1993,330512
04/03/1993,331871
04/10/1993,346648
04/17/1993,321564
04/24/1993,310916
05/01/1993,285098
05/08/1993,301906
05/15/1993,287944
05/22/1993,285444
05/29/1993,291206
06/05/1993,273411
06/12/1993,308535
06/19/1993,304843
06/26/1993,301549
07/03/1993,334335
07/10/1993,362425
07/17/1993,402348
07/24/1993,418260
07/31/1993,320155
08/07/1993,314579
08/14/1993,277263
08/21/1993,270913
08/28/1993,254231
09/04/1993,270528
09/11/1993,238902
09/18/1993,280903
09/25/1993,265510
10/02/1993,263636
